Vegetable,Zones,Planting_Season,Planting_Time,Maturity_Time,Special_Instructions
Artichoke,"[5,6,7,8,9,10,11]","Spring","March-May","""Start indoors in colder zones."
Arugula,"[2,3,4,5,6,7,8,9,10,11]","Spring, Fall","March-May, September-October","","Can tolerate light frosts."
Asparagus,"[5,6,7,8,9]",Spring,"March-April","","Plant crowns in well-drained soil."
Avocado,"[9,10,11]",Spring,"March-May","","Requires warm climate; protect from frost."
Beet,"[2,3,4,5,6,7,8,9,10]","Spring, Fall","March-May, September-October","","Best grown in cool temperatures."
Black Turtle Beans,"[3,4,5,6,7,8,9,10,11,12]",Spring,"April-June","","Plant after last frost."
BokChoy,"[2,3,4,5,6,7,8,9,10,11]","Spring, Fall","March-May, September-October","","Grows best in cool weather."
Broccoli,"[2,3,4,5,6,7,8,9,10,11]","Spring, Fall","March-May, September-October","","Prefers cooler temperatures."
Brussels Sprouts,"[3,4,5,6,7,8,9,10,11]","Spring, Fall","March-May, August-September","","Harvests best after frost."
Cabbage,"[1,2,3,4,5,6,7,8,9,10]","Spring, Fall","March-May, August-September","","Grows well in cooler weather."
Carrot,"[2,3,4,5,6,7,8,9,10,11]","Spring, Fall","March-May, August-September","","Loose soil helps root development."
Cauliflower,"[2,3,4,5,6,7,8,9,10,11]","Spring, Fall","March-May, August-September","","Prefers consistent moisture."
Celery,"[2,3,4,5,6,7,8,9,10]",Spring,March-May,"","Start indoors 10-12 weeks before transplanting."
Chard,"[2,3,4,5,6,7,8,9,10,11]","Spring, Fall","March-May, September-October","","Tolerates heat better than spinach."
Chayote,"[7,8,9,10,11]",Spring,April-June,"","Needs a long growing season."
Collards,"[6,7,8,9,10,11]","Spring, Fall","March-May, August-October","","Can survive mild frosts."
Cucumber,"[2,3,4,5,6,7,8,9,10,11]","Spring, Summer",April-July,"","Plant after last frost."
Edamame,"[3,4,5,6,7,8,9,10,11,12]",Spring,April-June,"","Needs warm temperatures to germinate."     ------- CHANGED TO SOY BEANS -------
Eggplant,"[5,6,7,8,9,10,11,12]",Spring,April-June,"","Start indoors in colder zones."
Fava Beans,"[5,6,7,8,9,10]",Spring,March-May,"","Plant early as they tolerate cool weather."
Garlic (Hardneck),"[1,2,3,4,5,6,7,8]",Fall,September-November,"","Plant in fall for summer harvest."
Garlic (Softneck),"[5,6,7,8,9,10,11,12]",Fall,September-November,"","Needs mild winter conditions."
Green Beans,"[3,4,5,6,7,8,9,10]","Spring, Summer",April-July,"","Plant after last frost."
Green Onion,"[3,4,5,6,7,8,9]","Spring, Fall","March-May, September-October","","Can be grown year-round in mild climates."
Jicama,"[10,11,12]",Spring,March-May,"","Requires a long growing season."
Kale,"[2,3,4,5,6,7,8,9,10]","Spring, Fall","March-May, August-October","","Tolerates frost well."
Kohlrabi,"[3,4,5,6,7,8,9,10,11]","Spring, Fall","March-May, August-September","","Grows quickly in cool weather."
Leek,"[3,4,5,6,7,8,9]",Spring,March-May,"","Start indoors early."
Lettuce,"[2,3,4,5,6,7,8,9,10,11]","Spring, Fall","March-May, August-October","","Grows best in cooler temperatures."
Lima Beans,"[2,3,4,5,6,7,8,9,10,11]",Spring,April-June,"","Plant after last frost."
Mustard Greens,"[2,3,4,5,6,7,8,9,10,11]","Spring, Fall","March-May, September-October","","Grows quickly in cool weather."
Okra,"[5,6,7,8,9,10,11]","Spring, Summer",April-July,"55-70 days","Prefers warm weather."
Onion,"[5,6,7,8,9]","Spring, Fall","March-May, August-September","","Choose short-day or long-day varieties accordingly."
Parsnip,"[2,3,4,5,6,7,8,9]","Spring, Fall","March-May, August-October","","Needs loose, well-drained soil."
Peanuts,"[6,7,8,9,10,11]",Spring,April-June,"","Needs a long growing season."
Peas,"[2,3,4,5,6,7,8,9,10,11]","Spring, Fall","March-May, August-September","","Plant early as they prefer cool weather."
Peppers,"[4,5,6,7,8,9,10,11]",Spring,April-June,"","Start indoors in colder zones."
Pinto Beans,"[3,4,5,6,7,8,9,10,11]",Spring,April-June,"","Plant after last frost."
Potato,"[3,4,5,6,7,8,9,10]",Spring,March-May,"","Plant seed potatoes in well-drained soil."
Pumpkin,"[3,4,5,6,7,8,9,10,11,12]",Spring,April-June,"","Requires long growing season."
Radicchio,"[4,5,6,7,8,9,10]","Spring, Fall","March-May, August-October","","Grows best in cool weather."
Radish,"[2,3,4,5,6,7,8,9,10,11]","Spring, Fall","March-May, August-October","","Fast-growing and cold-tolerant."
Red Beans,"[7,8,9,10,11]",Spring,April-June,"","Plant after last frost."
Rhubarb,"[5,6,7,8]",Spring,March-May,"","Best planted as crowns."
Rutabaga,"[3,4,5,6,7,8]","Spring, Fall","March-May, August-October","","Grows well in cool weather."
Salsify,"[5,6,7,8,9]",Spring,March-May,"","Prefers loose, deep soil."
Scallion,"[6,7,8,9]","Spring, Fall","March-May, September-October","","Can be grown year-round in mild climates."
Shallot,"[2,3,4,5,6,7,8,9,10]","Spring, Fall","March-May, September-October","","Plant in loose, well-drained soil."
Spinach,"[2,3,4,5,6,7,8,9]","Spring, Fall","March-May, August-October","","Prefers cool weather."
Sweet Corn,"[3,4,5,6,7,8,9,10,11]",Spring,April-June,"","Plant after last frost."
Sweet Potato,"[8,9,10,11]",Spring,April-June,"","Requires warm weather."
Tomatillo,"[4,5,6,7,8,9,10,11]",Spring,April-June,"","Start indoors in colder zones."
Tomato,"[3,4,5,6,7,8,9,10,11]",Spring,April-June,"","Start indoors in colder zones."
Turnip,"[2,3,4,5,6,7,8,9,10]","Spring, Fall","March-May, August-October","","Fast-growing and frost-tolerant."
Zucchini,"[3,4,5,6,7,8,9,10,11]",Spring,April-June,"45-55 days","Plant after last frost."

